name,subname,country,county,city,commune,address,directions,phone,email,email2,website_url,cif,iban,siruta_code,is_active
Direcţia Economica de Impozite şi Taxe Locale Municipiul Oradea,,Romania,Bihor,Oradea,,"Piata Unirii nr. 1, cp 410100",,"Tel: 0259-437000,  fax 0259–437544,",primarie@oradea.ro,,,4230487,RO31TREZ07621150201XXXXX,,1
Direcţia de Impozite şi Taxe Locale municipiul PLOIEȘTI,,Romania,Prahova,Ploiești,,Bulevardul Independenței 16,,Telefon: 0344 801051,finantelocale@spfl.ro,,,2844855,RO24TREZ52121150201XXXXX,,1
DIRECŢIA GENERALĂ DE IMPOZITE ŞI TAXE LOCALE  - MUNICIPIUL REȘIȚA,,Romania,Caras Severin,REȘIȚA,,"P-ŢA 1 DECEMBRIE 1918, NR.9",,Tel/Fax: 0255/211690,scutariu.impozite@primariaresita.ro,impozite.taxe@primariaresita.ro,,3228764,RO13TREZ18121150201XXXXX,,1
PRIMARIA DIRECŢIA IMPOZITE ŞI TAXE LOCALE -MUNICIPIUL SATU MARE,,Romania,Satu Mare,Satu Mare,,"P-ţa Romană, parter bloc  D8",,"Tel: 0261.702.600/0261-768209, Fax: 0261-770149",ditl@satu-mare.ro,,,4038806,RO89TREZ54621150201XXXXX,136483,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE municipiul Sibiu,,Romania,Sibiu,Sibiu,,"Str. Brukenthal nr.2, cp 550178",,Tel: 02695208800,directiafiscala@sibiu.ro,pms@sibiu.ro,,4270740,RO70TREZ57621150201XXXXX,,1
PRIMARIA DIRECŢIA IMPOZITE ŞI TAXE LOCALE,,Romania,Argeș,ȘTEFĂNEȘTI,,"Calea București, nr. 1",,Tel: +4 0248 266 752,taxesiimpozitestefanesti@yahoo.com,,,4122574,RO50TREZ04621150201XXXXX,,1
DIRECŢIA GENERALĂ DE IMPOZITE ŞI TAXE LOCALE MUNICIPIUL SUCEAVA,SERVICIUL CONSTATARE PERSOANE JURIDICE,Romania,Suceava,Suceava,,B-DUL 1MAI nr.5A,,Tel: / 0230-212696 int.151| fax./0230/520593,primsv@primariasv.ro,,,4244792,RO12TREZ59121150201XXXXX,,1
Directia Fiscala a Municipiului Timișoara,,Romania,Timis,Timisoara,,B-dul C.D. Loga nr.1,,Tel/Fax: 0256-293606,office@dfmt.ro,Gabriela.Cioiniac@dfmt.ro,www.dfmt.ro,21666630,RO90TREZ62121150201XXXXX,,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE,,Romania,Vrancea,,Tulnici,cp 627365,,Tel: 0237265312,primarie_tulnici@yahoo.com,,,4297703,,,1
DIRECŢIA GENERALĂ DE IMPOZITE ŞI TAXE LOCALE VASLUI,SERVICIUL CONSTATARE PERSOANE JURIDICE,Romania,Vaslui,Vaslui ,,Str. Spiru Haret nr. 2,,"tel: 0235/310999, 0235/313946",vaslui.contact@gmail.com    pmv@primariavaslui.ro,,,3337532,RO84TREZ65621150201XXXXX,,1
DIRECŢIA ECONOMICO-FINANCIARĂ - MUNICIPIUL Râmnicu Vâlcea,,Romania,Valcea,Râmnicu Vâlcea,,Strada Carol I nr. 3-5,,"Tel: +40-250-73.53.51, Fax: 250-73.53.50",economic@primariavl.ro,,,2540813,RO26TREZ67121150201XXXXX,,1
PRIMARIA DIRECŢIA IMPOZITE ŞI TAXE LOCALE-MUNICIPIUL Tâgru Mureș,,Romania,Mures,Târgu Mureș,,"P-ța Victoriei nr. 3, cp 540026",,"Tel: 0265.268.330, interior PJ 167",itlpj@dfltgm.ro,,,4322823,RO04TREZ47621150201XXXXX,,1
DIRECŢIA IMPOZITE ŞI TAXE orasul BAICOI,,Romania,Prahova,Baicoi,,strada Unirii Nr.21,,Tel: 0244 260816 -260987/registratura.tel. 0344.802.064/ Taxe tel.0344882885,biroulunic@primariabaicoi.ro,taxe@primariabaicoi.ro,,2845710,RO32TREZ53921150201XXXXX,130981,1
PRIMARIA DIRECŢIA IMPOZITE ŞI TAXE LOCALE ,,Romania,Valcea,,Brezoi,"Str. Lotrului nr. 2, cp 245500",,Tel: 0250778470,brezoi@vl.e-adm.ro,,,2541894,,,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE Primaria Comunei Valea Doftanei,,Romania,Prahova,,Tesila,"str. Calea Doftanei, nr.156, cp 107640",,Tel: 0244 365367,registratura@primariavaleadoftanei.ro,secretar@primariavaleadoftanei.ro,https://www.primariavaleadoftanei.ro/,2843116,,,1
Directia de Impozite si Taxe Locale Municipiului Drobeta Turnu Severin ,,Romania,Mehedinti,Drobeta Turnu Severin,,"B-dul Carol I, Nr. 17",,Tel/Fax: 0252 313 698 / 0252 313 616 Tel: 0352 401 558,ditl@primariadrobeta.ro,,,4426581,RO62TREZ46121150201XXXXX,,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE Primaria Municipiul Lugoj,,Romania,Timis,Lugoj,,"Piața Victoriei Nr.4, cp 305500",,Tel: 0256.352240,impozite@primarialugoj.ro,,,4527381,RO37TREZ62321150201XXXXX,,1
UNITATEA/SUBDIVIZIUNEA ADMINISTRATIV-TERITORIALA,,Romania,Timis,,Periam,"Str. Principală, nr. 642",,"telefon 0256 375001,0256 381 054",taxe_impozite@primatimperiam.ro,office@primatimperiam.ro,,4759543,,,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE Primaria COMUNA CEAHLĂU,,Romania,Neamt,,Ceahlău,Cod Postal: 617125,,Tel: +40 0233-258059,primaria_ceahlau@yahoo.com,,,2614155,,,1
UNITATEA/SUBDIVIZIUNEA ADMINISTRATIV-TERITORIALA comuna TUZLA,,Romania,Constanta,,Tuzla,"Str. Constantei nr. 80 A, cp. 907295",,Tel: 0241747178 ,primariatuzla2007@yahoo.com,,,4707625,,,1
COMUNA DUDESTII-VECHI jud TIMIȘ,,Romania,Timis,,,"Dudeștii Vechi, Nr. 255",,Tel: 0256/381104/FAX 0256384504,primaria@dudestii-vechi.ro,,,4483919,,,1
PRIMARIA DIRECŢIA IMPOZITE ŞI TAXE LOCALE ORASUL Sovata,,Romania,Mures,Sovata,,Principală nr.155,,Tel: 0265-570218,secretariat@primariasovata.ro,,,4436895,RO39TREZ48221150201XXXXX,,1
PRIMARIA COMUNEI Borș- DIRECŢIA IMPOZITE ŞI TAXE LOCALE,,Romania,Bihor,Bors,Bors,"Strada nr. 200, cp 417075",,Tel: 0259 316155,primariabors@gmail.com,primaria.bors@cjbihor.ro,,4390526,,,1
Directia de impozite si taxe locale - Municipiul Slobozia,,Romania,Ialomita,Slobozia,,"Str.Episcopiei, nr. 1",,Tel: +40 243 231 401 INT 217,dit@municipiulslobozia.ro,office@municipiulslobozia.ro,,4365352,RO74TREZ39121150201XXXXX,92658,1
DIRECȚIA VENITURI - SERVICIUL IMPUNERE PERSOANE JURIDICE -MUNICIPIUL TÂRGOVIȘTE,,Romania,Dambovita,Targoviste,,"str. Grigore Alexandrescu, bl. E4",,"Tel:  611222, 613928 / int. 121, 122; 213078",impozitelocale@pmtgv.ro,,,4279944,RO53TREZ27121150201XXXXX,,1
DIRECŢIA IMPOZITE ŞI TAXE Municipiul PITEŞTI,,Romania,Argeș,Pitești,,"Str. Victoriei Nr.24, cp 110017",,Tel:  0248215440; Fax: 0248212166,primaria@primariapitesti.ro,,,4317967,RO50TREZ04621150201XXXXX,13169,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE COMUNA LIMANU, UNITATEA SUBDIVIZIUNEA ADMINISTRATIV-TERITORIALĂ,Romania,Constanta,Limanu,,Str.Castanului Nr.32,,T.0241858204 /Taxe Limanu-0749205541/registratura-0749205553,secretar@primarialimanu.ro,,,4671688,,,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE COMUNA BELIS Primaria Belis,,Romania,Cluj,,BELIŞ,"Str. Principala, Nr. 105A, cp 407075",,Tel: 0264-334 002,primariabelis@yahoo.com,,,4485260,,,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE Primaria Orasului Topoloveni,,Romania,Argeș,Topoloveni,,"Str. Calea Bucuresti, Nr. 111, cp 115500",,Tel: 0248.666.259,primarie@topoloveni.cjarges.ro,,,4229725,RO63TREZ05121150201XXXXX,,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE Primaria Localitatea OLTENIȚA,,Romania,Calarasi,Oltenița,,Bd. Republicii nr. 40 cp 915400,,Tel: 0242515770; 0722256115,contact@primariaoltenita.ro,taxe.impozite@primariaoltenita.ro,,4294103,RO87TREZ20221150201XXXXX,,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE Primaria Localitatea CĂLĂRAȘI,,Romania,Calarasi,Calarasi,,str Bucuresti nr. 140 A  cp 910058,,Tel: 0242311005; 0242318574,office@primariacalarasi.ro,,,4445370,RO65TREZ20121150201XXXXX,92569,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE PLOPENI,,Romania,Prahova,PLOPENI,,"Bulevardul Independentei, nr. 12, cp 105900",,Telefon: +4.0244.220.132,contact@primariaplopeni.ro,,,2843779,,,1
"Directia Impozite Si Taxe Locale Zalau, Zalău",,Romania,Salaj,Zalău,,"Piaţa Iuliu Maniu nr.3, cp 450016",,Telefon: 0260/610550,primaria@zalausj.ro,,,4291786,RO31TREZ56121150201XXXXX,,1
Directia Impozite Si Taxe Locale Sighetu Marmatiei,,Romania,Maramures,Sighetu Marmației,,"Str.Bogdan Vodă 14, cp 435500",,Telefon: 0262314580,directiavenituri@primariasighet.ro,,,3695174,RO19TREZ43721150201XXXXX,,1
Directia Impozite Si Taxe Locale Focșani,,Romania,Vrancea,Focşani,,"B-dul Dimitrie Cantemir, Nr. 1bis, cp 620098",,Tel: 0237236000,primarie@focsani.info,,,4350645,RO78TREZ69121150201XXXXX,,1
Directia Impozite Si Taxe Locale Bârlad,,Romania,Vaslui,Bârlad,,"Strada 1 Decembrie, nr. 21, cp 731182",,Tel: 0235 411 760 / fax 0235 416 867,contact@primariabarlad.ro,,,4539912,RO09TREZ65721150201XXXXX,,1
Directia Impozite Si Taxe Locale FĂGĂRAȘ,,Romania,Brasov,Fagaras,,"str. Republicii nr.3, cp 505200 ",,"Tel: 0268211313, taxe 0368 402 887",secretariat@primaria-fagaras.ro,taxe@primaria-fagaras.ro,,4384419,RO02TREZ13221150201XXXXX,,1
DIRECŢIA GENERALĂ DE IMPOZITE ŞI TAXE LOCALE COMUNA PUSCAȘI,,Romania,Vaslui,,Puscasi,"Str. Principala nr. 68, sat Puscasi",,Tel: 0235-340400/0235-340348,primariapuscasi@yahoo.com,contabil@primariapuscasi.ro,,16404196,,,1
UNITATEA/SUBDIVIZIUNEA ADMINISTATIV-TERITORIALĂ A ORASULUI RÂȘNOV,,Romania,Brasov,Rasnov,,"Str. Piata Unirii, nr. 12, cp 505400",,Tel: 0268.230.115;230.002,impozite.taxe@primariarasnov.ro,,,4443353,R037TREZ13821150201XXXXX,,1
DIRECȚIA VENITURI - SERVICIUL IMPUNERE PERSOANE JURIDICE Municipiul Târgu Jiu,,Romania,Gorj,Targu Jiu,,"str. Republicii, bl. 25 PARTER",,Tel: 0253227101/0253227102,dit@targujiu.ro,,,4956065,RO28TREZ33621150201XXXXX,,1
DIRECŢIA GENERALĂ DE IMPOZITE ŞI TAXE LOCALE COMUNA BOITA,,Romania,Sibiu,Boita,,"str. Traian, nr. 263, cp 555701",,Telefon: 0269-556136,primaria@boita.ro,,,16343285,,,1
DIRECȚIA ECONOMICĂ Birou impozite și taxe locale,,Romania,Salaj,Șimleu Silvaniei,,Str. Libertății nr.3,,"Tel: 0260678622, fax: 0260679220",directia_economica@simleusilvaniei.ro,primaria_simleu@yahoo.com,,4566658,RO75TREZ56321150201XXXXX,,1
Directia Impozite Si Taxe Locale Municipiul ROMAN,,Romania,Neamt,Roman,,"Piaţa Roman-Vodă, nr. 1, cp 611022",,"Tel: 0233.741.119, 0233.744.650, 0233.742.428, 0233.741.652",itjuridice@primariaroman.ro,,,2613583,RO65TREZ49221150201XXXXX,,1
Directia Impozite Si Taxe Locale Municipiul Sighișoara,,Romania,Mures,Sighișoara,,"P-ța Muzeului, nr. 7",,Tel: 0265771280/fax. 0265771264,impozitetaxe@primaria-sighisoara.ro,,,5669309,RO48TREZ47821150201XXXXX,,1
DIRECŢIA GENERALĂ DE IMPOZITE ŞI TAXE LOCALE HUEDIN,,Romania,Cluj,Huedin,,Strada Horea 1,,Tel: 0264351548,taxeimpozite@primariahuedin.ro,,,4485642,RO20TREZ22121150201XXXXX,,1
UNITATEA/SUBDIVIZIUNEA ADMINISTRATIV-TERITORIALĂ Municipiul Tulcea,,Romania,Tulcea,Tulcea,,str Pacii nr 20,,Tel/Fax: 0240532959,sit@primaria-tulcea.ro,,,4321429,RO45TREZ64121150201XXXXX,,1
PRIMĂRIA SINAIA -SERVICIUL BUGET,,Romania,Prahova,Sinaia,,B-dul Carol I nr.47,,tel/fax: 0244-311788,taxe@primaria-sinaia.ro,contact@primaria-sinaia.ro,,2844103,RO06TREZ52921150201XXXXX,,1
SERVICIUL ADMINISTRATIE LOCALA-BIROUL VENITURI orasul Pucioasa,,Romania,Dambovita,Pucioasa,,Str.Fantanelor nr.7,,Telefon:0245/232.277;Fax:0245/760.484,info@primpuc.ro,birou.venituri@primpuc.ro,,4280302,RO44TREZ27521150201XXXXX,,1
Directia Impozite Si Taxe Locale Municipiul PIATRA NEAMȚ,,Romania,Neamt,Piatra Neamț,,"str. Cuejdi, nr. 1B, clădirea Forum Center",,"Tel: 0233/213884, fax 0233/213894",taxesiimpozite@primariapn.ro,,,2612790,RO43TREZ49121150201XXXXX,,1
Directia Impozite Si Taxe Locale Municipiul PETROȘANI,,Romania,Hunedoara,PETROȘANI,,"Str. 1 Decembrie 1918, Nr. 93, cp 332019",,Tel: (004) 0254 546 876,txi_petrosani@yahoo.com,taxe.impozite@primariapetrosani.ro,,4468943,RO53TREZ36821150201XXXXX,,1
Directia Impozite Si Taxe Locale Municipiul DEVA,,Romania,Hunedoara,Deva,,"Bd. 1 Decembrie 1918, nr. 16A",,Tel: 0254/215417; Fax: 0254/210896;,impozite_taxe@primariadeva.ro,,,4374393,RO09TREZ36621150201XXXXX,86687,1
Directia Impozite Si Taxe Locale Municipiul ALBA IULIA,,Romania,Alba,ALBA IULIA,,"Str. Ardealului, nr. 1-3",,Tel/fax: 0258-818338,taxe@apulum.ro,,,4562923,RO52TREZ00221150201XXXXX,,1
Directia Impozite Si Taxe Locale oras NĂVODARI,,Romania,Constanta,Năvodari,,"Str. Sănătății, nr. 2",,"Tel: 0241-762675;0241.761.603, 0241.760.353",impozite@primaria-navodari.ro,,,4618382,,60507,1
DIRECŢIA GENERALĂ DE IMPOZITE ŞI TAXE LOCALE MEDIAȘ,,Romania,Sibiu,Mediaş,,Piaţa Corneliu Coposu Nr. 3,,Tel: +40 269 803 803,taxemedias@gmail.com,,,4240677,RO92TREZ57721150201XXXXX,,1
DIRECŢIA GENERALĂ DE IMPOZITE ŞI TAXE LOCALE MANGALIA,,Romania,Constanta,MANGALIA,,str. Constantei nr 13,,Tel: +40241751060/0241755606,taxe@primaria.mangalia.ro,,,4515255,RO90TREZ23321150201XXXXX,,1
DIRECŢIA GENERALĂ DE IMPOZITE ŞI TAXE LOCALE SFÂNTU GHEORGHE,,Romania,Covasna,Sfântu Gheorghe,,"str. Oltului nr 2, cp 520027 ",,Tel/fax/e-mail: 0267 316 957,taxeimpozitelocale@sepsi.ro,,,4404605,RO14TREZ25621150201XXXXX,,1
DIRECŢIA GENERALĂ DE IMPOZITE ŞI TAXE LOCALE ONEȘTI,,Romania,Bacau,ONEȘTI,,"B-dul OITUZ, Nr. 17",,Tel: 0234.324.243 int. 213,control-fiscal@onesti.ro,,,4353250,RO14TREZ06221150201XXXXX,,1
DIRECŢIA GENERALĂ DE IMPOZITE ŞI TAXE LOCALE oras LEHLIU GARĂ,,Romania,Calarasi,Lehliu Gara,,"Strada Pompieri nr 3, cp 915300",,Tel: 0242641124; 0242641134,taxe.locale@primarialehliugara.ro,,,16300713,RO12TREZ20321150201XXXXX,,1
UNITATEA ADMINISTRATIV-TERITORIALĂ COMUNA PREJMER,,Romania,Brasov,,Prejmer,"Str.Mare nr.565, cp 507165",,Tel : 0268 -362003 ; 0268 -362041 ,impozite_taxe@wp.afirmax.ro,contact@primariaprejmer.ro,,4688701,RO77TREZ13121150201XXXXX,,1
UNITATEA ADMINISTRATIV-TERITORIALĂ COMUNA TREZNEA,,Romania,Salaj,,Treznea,"Str. Principală, nr. 83",,Tel: 0260-658044,primariatreznea@gmail.com,,,7977526,,,1
UNITATEA ADMINISTRATIV-TERITORIALĂ COMUNA HĂRMAN,,Romania,Brasov,,Harman,"Str.Pieti nr.1, cp 507085",,"Tel: 0268/367221, 0268/367523",financiar@primariaharman.ro,registratura@primariaharman.ro,,4833941,RO77TREZ13121150201XXXXX,41097,1
UNITATEA/SUBDIVIZIUNEA ADMINISTRATIV-TERITORIALĂ,,Romania,Judetu Harghita,,CORBU,"str PRINCIPALA, nr. 119",,Tel: : 0266.338.814,corbu1@hr.e-adm.ro,,,4612487,,,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE BICAZ NEAMȚ,,Romania,Neamt,Bicaz,,Strada Barajului nr. 4,,Fax. 0233/254530 ; Tel:  +0233254310 int 108,primariabicaz@yahoo.com,,,2614392,RO12TREZ49421150201XXXXX,,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE oras BUȘTENI,,Romania,Prahova,Busteni,,"Bulevardul Libertatii, Nr.101",,Tel: 0244 320 561/0344401916,sitl.primariabusteni@yahoo.com,uatobusteni@gmail.com,,2845729,RO06TREZ52921150201XXXXX,,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE comuna FLOREȘTI,,Romania,Prahova,,Floresti,"str.Principală, nr.604",,Telefon : 0244 369114,floresti_primaria@yahoo.com,,,2843620,,,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE comuna Bistriţa Bîrgăului,,Romania,Bistrita Nasaud,,Bistriţa Bîrgăului,"Str. Principală, Nr. 1326",,Tel: : 0263/265286,primariabistritabirgaului@yahoo.com,,,4347437,,,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE comuna HORIA,,Romania,Neamt,,Horia,"Str. Pietrei, Nr. 1, sat Horia",,tel/fax: 0233747341/Impozite și taxe: 0233747462 / interior 202,contact@primariahorianeamt.ro,primariahoria@yahoo.com,,2613737,,,1
DIRECŢIA GENERALĂ DE IMPOZITE ŞI TAXE LOCALE orasul AVRIG,,Romania,Sibiu,Avrig,,"Str. Ghe. Lazăr, Nr. 10, cod poștal 555200",,"Tel: +0269/523.101, Fax: +0269/524.401",office@primaria-avrig.ro,simona.perju@primaria-avrig.ro,,4241087,RO83TREZ58121150201XXXXX,,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE comuna CUCUTENI,,Romania,Iasi,,Cucuteni,,,Tel: 0232/717007 ,osecretar@primariacucuteni.ro,primar@primariacucuteni.ro,,4540984,RO04TREZ40821180250XXXXX,,1
